Item:,Shipping $:,Cost(USD):,Quanity:,Supplier:,Website
ALPS EC11 Rotary Encoder,FREE,$1.78,1,AliExpress,https://www.aliexpress.us/item/3256806014648588.html?spm=a2g0o.productlist.main.1.605b466aEd7TZm&algo_pvid=45db6598-1fa3-412d-89af-93b8d0cbe0b6&algo_exp_id=45db6598-1fa3-412d-89af-93b8d0cbe0b6-0&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.78%211.78%21%21%2112.31%2112.31%21%402103123917686047650766194efd83%2112000036243501157%21sea%21US%216916366760%21X%211%210%21n_tag%3A-29912%3Bd%3A31c530e8%3Bm03_new_user%3A-29895&curPageLogUid=mNXI07lKUJAn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006200963340%7C_p_origin_prod%3A
220R Resistors,FREE,$1.12,21 (100 pack),AliExpress,https://www.aliexpress.us/item/3256806240725825.html?spm=a2g0o.detail.0.0.5c1f1f06EeCxRu&mp=1&pdp_npi=6%40dis%21USD%21USD%201.74%21USD%201.11%21%21USD%201.10%21%21%21%402103212317685149069736651e2f42%2112000037127955911%21ct%21US%216916366760%21%211%210%21&gatewayAdapt=glo2usa
4K7 Resistors,FREE,$1.11,4 (100 pack),AliExpress,https://www.aliexpress.us/item/3256806240725825.html?spm=a2g0o.detail.0.0.5c1f1f06EeCxRu&mp=1&pdp_npi=6%40dis%21USD%21USD%201.74%21USD%201.11%21%21USD%201.10%21%21%21%402103212317685149069736651e2f42%2112000037127955911%21ct%21US%216916366760%21%211%210%21&gatewayAdapt=glo2usa
6x6x6 Tactile Push Buttons,FREE,$1.00,3 (20 pack),AliExpress,https://www.aliexpress.us/item/3256805755432003.html?spm=a2g0o.detail.0.0.a9e2Z6qpZ6qp6Q&mp=1&pdp_npi=6%40dis%21USD%21USD%201.03%21USD%201.00%21%21USD%201.00%21%21%21%402101f11417684336241782023e7434%2112000034954104044%21ct%21US%216916366760%21%211%210%21&_gl=1*1uew4r5*_gcl_au*NTUwNjM4ODQ0LjE3NjYwOTM5MDQ.*_ga*NDAzMTEwNDA2LjE3NjgzNDI5Njc.*_ga_VED1YSGNC7*czE3Njg1MTQ5MDEkbzYkZzAkdDE3Njg1MTQ5MDEkajYwJGwwJGgw&gatewayAdapt=glo2usa
Seeed XIAO RP2040,FREE,$9.99,1,Amazon,https://www.amazon.com/gp/product/B09NNVNW7M/ref=sw_img_1?smid=A1YP59NGBNBZUR&th=1
 4-dig 7 Segment (SR420561N),ðŸ‘‡,$0.63,1,LCSC,https://www.lcsc.com/product-detail/C109200.html
 1-dig 7 Segment (SM420561N),ðŸ‘‡,$0.16,2 (5 pack),LCSC,https://www.lcsc.com/product-detail/C141367.html
I/O Converter (UMW PCA9555PW),$10.87,$0.28,2,LCSC,https://www.lcsc.com/product-detail/C42420607.html
M3 Brass Heat Set Inserts,FREE,$2.26,4 (50 pack),AliExpress,https://www.aliexpress.us/item/3256807466816961.html?spm=a2g0o.productlist.main.1.53de5407lDLEP1&algo_pvid=ee60e4c0-588d-44e4-965f-c151ce256702&algo_exp_id=ee60e4c0-588d-44e4-965f-c151ce256702-0&pdp_ext_f=%7B%22order%22%3A%222083%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.85%211.85%21%21%211.85%211.85%21%402101eede17686137639055488e19e6%2112000041667111548%21sea%21US%216916366760%21X%211%210%21n_tag%3A-29912%3Bd%3A31c530e8%3Bm03_new_user%3A-29895&curPageLogUid=wrEkk6ghkbtB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007653131713%7C_p_origin_prod%3A
M3 8mm Screws,FREE,$2.07,4 (50 pack),AliExpress,https://www.aliexpress.us/item/3256807407523474.html?spm=a2g0o.productlist.main.8.4c0beGPoeGPowf&aem_p4p_detail=202601172016322922694419568000001627880&algo_pvid=7e41b935-04fe-46fa-9cb5-e91ee5fde0ce&algo_exp_id=7e41b935-04fe-46fa-9cb5-e91ee5fde0ce-7&pdp_ext_f=%7B%22order%22%3A%223440%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.64%211.56%21%21%2111.33%2110.78%21%402101df0e17687097921664413e21b6%2112000041426254547%21sea%21US%216916366760%21X%211%210%21n_tag%3A-29912%3Bd%3A31c530e8%3Bm03_new_user%3A-29895&curPageLogUid=LJoOjTbcL5xv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007593838226%7C_p_origin_prod%3A&search_p4p_id=202601172016322922694419568000001627880_2(already owned)
PCB (custom),$8.55,$8.80,1,JLCPCB,https://www.jlcpcb.com
TOTAL $:,$19.42,$27.13,TOTAL: $46.55,,NOTE: PRICE IS FOR EACH NOT ALL (eg. cost: $1.50 quanity: 2 total: $3.00